code,name,sector,price,market_cap,per,pbr,dividend_yield,roe,profit_margin,return_3m,return_6m
7203,トヨタ自動車,輸送用機器,3100,50000000000000,10.5,1.1,0.031,0.115,0.108,0.06,0.11
6758,ソニーグループ,電気機器,14500,18000000000000,18.2,2.4,0.006,0.135,0.097,0.09,0.16
9984,ソフトバンクグループ,情報・通信業,9800,14000000000000,,1.3,0.005,0.02,0.03,0.21,0.34
6861,キーエンス,電気機器,68000,16500000000000,32.5,4.9,0.003,0.145,0.36,0.03,0.05
8306,三菱UFJフィナンシャル・グループ,銀行業,1750,21000000000000,10.8,0.95,0.029,0.085,0.31,0.07,0.14
9432,日本電信電話,情報・通信業,155,13500000000000,11.2,1.5,0.034,0.13,0.095,-0.02,0.01
4063,信越化学工業,化学,6100,12300000000000,17.8,2.1,0.017,0.12,0.21,0.04,0.02
6501,日立製作所,電気機器,3900,18000000000000,20.1,2.6,0.011,0.13,0.06,0.12,0.25
7974,任天堂,その他製品,9500,12300000000000,22.0,3.0,0.018,0.14,0.29,0.08,0.17
9983,ファーストリテイリング,小売業,48000,15200000000000,34.0,7.2,0.009,0.22,0.12,-0.04,0.03
8035,東京エレクトロン,電気機器,26000,12200000000000,24.5,6.0,0.02,0.25,0.24,0.15,0.22
4502,武田薬品工業,医薬品,4200,6600000000000,38.0,0.9,0.047,0.024,0.033,0.02,-0.03
6902,デンソー,輸送用機器,2200,6900000000000,13.5,1.2,0.026,0.09,0.065,0.05,0.08
8058,三菱商事,卸売業,3000,12000000000000,11.0,1.3,0.033,0.115,0.048,0.06,0.09
8001,伊藤忠商事,卸売業,7300,11500000000000,12.5,1.9,0.028,0.155,0.056,0.07,0.12
8031,三井物産,卸売業,3400,10000000000000,10.2,1.25,0.031,0.125,0.068,0.05,0.06
4519,中外製薬,医薬品,7800,13000000000000,26.0,4.5,0.011,0.18,0.33,0.1,0.18
6367,ダイキン工業,機械,20000,5900000000000,22.5,2.0,0.013,0.095,0.06,-0.01,-0.05
6981,村田製作所,電気機器,2600,5200000000000,17.0,1.6,0.021,0.095,0.14,0.04,0.02
7741,HOYA,精密機器,20500,7100000000000,29.0,5.5,0.008,0.2,0.26,0.06,0.1
4568,第一三共,医薬品,5300,10400000000000,32.0,4.2,0.011,0.135,0.14,0.09,0.15
9433,KDDI,情報・通信業,4800,10500000000000,14.5,1.9,0.031,0.135,0.115,0.03,0.07
2914,日本たばこ産業,食料品,4400,8800000000000,15.0,2.1,0.044,0.14,0.17,0.05,0.1
8766,東京海上ホールディングス,保険業,5700,11000000000000,12.8,2.3,0.028,0.185,0.145,0.08,0.13
6098,リクルートホールディングス,サービス業,10800,16500000000000,29.5,5.8,0.004,0.21,0.12,0.11,0.2
6594,ニデック,電気機器,2900,3400000000000,20.5,2.2,0.014,0.11,0.065,-0.06,-0.11
7267,本田技研工業,輸送用機器,1600,8000000000000,8.5,0.65,0.042,0.075,0.055,0.04,0.07
7751,キヤノン,電気機器,4900,6400000000000,13.2,1.3,0.03,0.10,0.078,0.02,0.05
5108,ブリヂストン,ゴム製品,6300,4400000000000,13.8,1.2,0.034,0.088,0.077,0.01,0.03
4901,富士フイルムホールディングス,化学,3600,4400000000000,16.5,1.4,0.017,0.088,0.086,0.07,0.13
